Asset/SSE #,Serial#,Manuf,Model,,Model#,FMV,Cond,On Shelf,Processor Type,Processor Speed,Mem Size (Total),Mem Type,HDD Capacity,HDD Type,HDD Qty,Optical Drive,New OS Load Type,Screen Size,Case Color,Notes/Comments,Mono Page Count,Color Page Count,Total Page Count,Form Factor,price
1179006,2UA3500WZD,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179100,2UA3500X0P,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179101,2UA3501B6H,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179103,2UA3501B7Q,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179105,2UA3500WYM,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179123,2UA3500WY5,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179125,2UA3500WW4,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179331,2UA3500WW5,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179336,2UA3500WZ4,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179389,2UA3451FG9,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179393,2UA3451FF9,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179397,2UA3500X14,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179398,2UA3451FJB,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179400,2UA3451FFN,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179436,2UA3500WVV,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179437,2UA3501B38,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179443,2UA3501B5D,HP,Pro 4300 SFF,,F7D87US#ABA,,A,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179582,2UA3500X15,HP,Pro 4300 SFF,,F7D87US#ABA,,B,7,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179583,2UA3501B58,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179585,2UA3500WY8,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179586,2UA3451FDC,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179608,2UA3500WYJ,HP,Pro 4300 SFF,,F7D87US#ABA,,A,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
1179861,2UA3500WYR,HP,Pro 4300 SFF,,F7D87US#ABA,,C,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179862,2UA3451FC9,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179864,2UA3501B5M,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179866,2UA3500WZ2,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179867,2UA3500X0Y,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1179868,2UA3500WWB,HP,Pro 4300 SFF,,F7D87US#ABA,,B,9,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180102,2UA3500WVH,HP,Pro 4300 SFF,,F7D87US#ABA,,C,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180104,2UA3501B77,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,,,,,,,Black,,,,,SFF,45
1180116,2UA3451FBR,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180117,2UA3501B3J,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,Black,,,,,SFF,45
1180121,2UA3501B79,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180124,2UA3500WZ6,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,8 GB,"DDR3/1333, DDR3/1333",500 GB,SATA,1,,,,Black,,,,,SFF,45
1180127,2UA3501B5T,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180129,2UA3500X17,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180131,2UA3501B74,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180180,2UA3501B3T,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1180181,2UA3500WX3,HP,Pro 4300 SFF,,F7D87US#ABA,,B,8,Intel Pentium G2030 Dual Core,3.00 Ghz,4 GB,DDR3/1333,500 GB,SATA,1,,,,black,,,,,SFF,45
1179278,MJ00FJFA,Lenovo,ThinkCentre M73,,S0D800,,B,8,Intel Pentium G3220 Dual Core,3.00 Ghz,4 GB,DDR3/1600,500 GB,SATA,1,,,,BLACK,,,,,SFF,45
